dat,ssid,val
scan_1,--,1653524983
60:38:E0:0E:EC:B6,ponderous,99
60:38:E0:0E:EC:B7,ponderous_5GHz,94
CA:3A:6B:1F:ED:6A,--,79
10:93:97:37:2A:10,ATTvcdAF5S70
10:93:97:37:2A:13,--,54
06:93:97:37:2A:13,ATTvcdAF5S52
D0:4D:2C:86:A2:27,--,49
CA:3A:6B:22:30:2A,--,45
2C:95:69:44:21:10,ATTvX66m7i,29
48:4B:D4:74:22:6B,WiFi_House,25
4A:4B:D4:75:22:68,--,25
0E:51:A4:28:26:F3,xfinitywifi,24
D2:03:4B:65:D2:AA,Bern_uest,22
2E:51:A4:28:26:F3,XFINITY,22
3E:51:A4:28:26:F3,--,22
1E:51:A4:28:26:F3,--,22
FC:51:A4:28:26:F3,home7,20
D0:03:4B:65:D2:AA,Dragonfly,19
74:54:7D:EB:47:11,Cisco-7DEB4711,14
22:54:A5:75:AF:40,--,9
scan_2,--,1653524990
60:38:E0:0E:EC:B7,ponderous_5GHz,94
CA:3A:6B:1F:ED:6A,--,79
60:38:E0:0E:EC:B6,ponderous,77
10:93:97:37:2A:10,ATTvcdAF5S70
10:93:97:37:2A:13,--,54
06:93:97:37:2A:13,ATTvcdAF5S52
D0:4D:2C:86:A2:27,--,49
CA:3A:6B:22:30:2A,--,45
2C:95:69:44:21:10,ATTvX66m7i,29
48:4B:D4:74:22:6B,WiFi_House,25
4A:4B:D4:75:22:68,--,25
0E:51:A4:28:26:F3,xfinitywifi,24
D2:03:4B:65:D2:AA,Bern_uest,22
2E:51:A4:28:26:F3,XFINITY,22
3E:51:A4:28:26:F3,--,22
1E:51:A4:28:26:F3,--,22
FC:51:A4:28:26:F3,home7,20
D0:03:4B:65:D2:AA,Dragonfly,19
74:54:7D:EB:47:11,Cisco-7DEB4711,14
22:54:A5:75:AF:40,--,9
scan_3,--,1653525005
60:38:E0:0E:EC:B6,ponderous,95
60:38:E0:0E:EC:B7,ponderous_5GHz,95
CA:3A:6B:1F:ED:6A,--,77
10:93:97:37:2A:10,ATTvcdAF5S75
06:93:97:37:2A:13,ATTvcdAF5S55
10:93:97:37:2A:13,--,55
CA:3A:6B:22:30:2A,--,50
D0:4D:2C:86:A2:27,--,49
3E:51:A4:28:26:F3,--,29
0E:51:A4:28:26:F3,xfinitywifi,29
2E:51:A4:28:26:F3,XFINITY,27
FC:51:A4:28:26:F3,home7,27
1E:51:A4:28:26:F3,--,27
2C:95:69:44:21:10,ATTvX66m7i,25
D0:03:4B:65:D2:AA,Dragonfly,19
74:54:7D:EB:47:11,Cisco-7DEB4711,17
22:54:A5:75:AF:40,--,9
scan_4,--,1653525012
60:38:E0:0E:EC:B7,ponderous_5GHz,95
60:38:E0:0E:EC:B6,ponderous,77
CA:3A:6B:1F:ED:6A,--,77
10:93:97:37:2A:10,ATTvcdAF5S75
06:93:97:37:2A:13,ATTvcdAF5S55
10:93:97:37:2A:13,--,55
CA:3A:6B:22:30:2A,--,50
D0:4D:2C:86:A2:27,--,49
3E:51:A4:28:26:F3,--,29
0E:51:A4:28:26:F3,xfinitywifi,29
2E:51:A4:28:26:F3,XFINITY,27
FC:51:A4:28:26:F3,home7,27
1E:51:A4:28:26:F3,--,27
2C:95:69:44:21:10,ATTvX66m7i,25
D0:03:4B:65:D2:AA,Dragonfly,19
74:54:7D:EB:47:11,Cisco-7DEB4711,17
22:54:A5:75:AF:40,--,9
scan_5,--,1653525027
60:38:E0:0E:EC:B6,ponderous,99
60:38:E0:0E:EC:B7,ponderous_5GHz,94
CA:3A:6B:1F:ED:6A,--,77
10:93:97:37:2A:10,ATTvcdAF5S74
06:93:97:37:2A:13,ATTvcdAF5S55
10:93:97:37:2A:13,--,55
D0:4D:2C:86:A2:27,--,49
CA:3A:6B:22:30:2A,--,49
2C:95:69:44:21:10,ATTvX66m7i,27
2E:51:A4:28:26:F3,XFINITY,24
3E:51:A4:28:26:F3,--,24
FC:51:A4:28:26:F3,home7,24
0E:51:A4:28:26:F3,xfinitywifi,24
1E:51:A4:28:26:F3,--,22
74:54:7D:EB:47:11,Cisco-7DEB4711,17
0C:54:A5:75:AF:40,HOME-C26B-2.4,14
D0:03:4B:65:D2:AA,Dragonfly,14
22:54:A5:75:AF:40,--,9
scan_6,--,1653525035
60:38:E0:0E:EC:B7,ponderous_5GHz,94
60:38:E0:0E:EC:B6,ponderous,79
CA:3A:6B:1F:ED:6A,--,77
10:93:97:37:2A:10,ATTvcdAF5S74
06:93:97:37:2A:13,ATTvcdAF5S55
10:93:97:37:2A:13,--,55
D0:4D:2C:86:A2:27,--,49
CA:3A:6B:22:30:2A,--,49
2C:95:69:44:21:10,ATTvX66m7i,27
2E:51:A4:28:26:F3,XFINITY,24
3E:51:A4:28:26:F3,--,24
FC:51:A4:28:26:F3,home7,24
0E:51:A4:28:26:F3,xfinitywifi,24
1E:51:A4:28:26:F3,--,22
74:54:7D:EB:47:11,Cisco-7DEB4711,17
0C:54:A5:75:AF:40,HOME-C26B-2.4,14
D0:03:4B:65:D2:AA,Dragonfly,14
22:54:A5:75:AF:40,--,9
scan_7,--,1653525049
60:38:E0:0E:EC:B6,ponderous,95
60:38:E0:0E:EC:B7,ponderous_5GHz,94
CA:3A:6B:1F:ED:6A,--,77
10:93:97:37:2A:10,ATTvcdAF5S75
06:93:97:37:2A:13,ATTvcdAF5S57
10:93:97:37:2A:13,--,57
D0:4D:2C:86:A2:27,--,49
CA:3A:6B:22:30:2A,--,49
E4:F4:C6:EF:CE:9B,ATTWsvFCI2_EXT,27
3E:51:A4:28:26:F3,--,22
FC:51:A4:28:26:F3,home7,22
1E:51:A4:28:26:F3,--,22
0E:51:A4:28:26:F3,xfinitywifi,22
2C:95:69:44:21:10,ATTvX66m7i,20
2E:51:A4:28:26:F3,XFINITY,20
0C:54:A5:75:AF:40,HOME-C26B-2.4,14
D0:03:4B:65:D2:AA,Dragonfly,14
74:54:7D:EB:47:11,Cisco-7DEB4711,14
scan_8,--,1653525056
60:38:E0:0E:EC:B7,ponderous_5GHz,94
60:38:E0:0E:EC:B6,ponderous,80
CA:3A:6B:1F:ED:6A,--,77
10:93:97:37:2A:10,ATTvcdAF5S75
06:93:97:37:2A:13,ATTvcdAF5S57
10:93:97:37:2A:13,--,57
D0:4D:2C:86:A2:27,--,49
CA:3A:6B:22:30:2A,--,49
E4:F4:C6:EF:CE:9B,ATTWsvFCI2_EXT,27
3E:51:A4:28:26:F3,--,22
FC:51:A4:28:26:F3,home7,22
1E:51:A4:28:26:F3,--,22
0E:51:A4:28:26:F3,xfinitywifi,22
2C:95:69:44:21:10,ATTvX66m7i,20
2E:51:A4:28:26:F3,XFINITY,20
0C:54:A5:75:AF:40,HOME-C26B-2.4,14
D0:03:4B:65:D2:AA,Dragonfly,14
74:54:7D:EB:47:11,Cisco-7DEB4711,14
scan_9,--,1653525071
60:38:E0:0E:EC:B7,ponderous_5GHz,92
60:38:E0:0E:EC:B6,ponderous,80
CA:3A:6B:1F:ED:6A,--,77
10:93:97:37:2A:10,ATTvcdAF5S75
06:93:97:37:2A:13,ATTvcdAF5S57
10:93:97:37:2A:13,--,57
CA:3A:6B:22:30:2A,--,49
E4:F4:C6:EF:CE:9B,ATTWsvFCI2_EXT,27
2C:95:69:44:21:10,ATTvX66m7i,25
3E:51:A4:28:26:F3,--,25
0E:51:A4:28:26:F3,xfinitywifi,25
FC:51:A4:28:26:F3,home7,24
1E:51:A4:28:26:F3,--,24
2E:51:A4:28:26:F3,XFINITY,22
74:54:7D:EB:47:11,Cisco-7DEB4711,19
D0:03:4B:65:D2:AA,Dragonfly,17
0C:54:A5:75:AF:40,HOME-C26B-2.4,14
scan_10,--,1653525078
60:38:E0:0E:EC:B6,ponderous,100
60:38:E0:0E:EC:B7,ponderous_5GHz,92
CA:3A:6B:1F:ED:6A,--,77
10:93:97:37:2A:10,ATTvcdAF5S72
06:93:97:37:2A:13,ATTvcdAF5S57
10:93:97:37:2A:13,--,57
D0:4D:2C:86:A2:27,--,49
CA:3A:6B:22:30:2A,--,49
E4:F4:C6:EF:CE:9B,ATTWsvFCI2_EXT,27
2C:95:69:44:21:10,ATTvX66m7i,27
3E:51:A4:28:26:F3,--,25
0E:51:A4:28:26:F3,xfinitywifi,25
FC:51:A4:28:26:F3,home7,24
1E:51:A4:28:26:F3,--,24
4A:4B:D4:75:22:6C,--,22
4A:4B:D4:75:22:6E,--,22
2E:51:A4:28:26:F3,XFINITY,22
48:4B:D4:74:22:6B,WiFi_House,20
4A:4B:D4:75:22:68,--,19
74:54:7D:EB:47:11,Cisco-7DEB4711,19
1A:54:A5:75:AF:40,--,17
D0:03:4B:65:D2:AA,Dragonfly,17
D2:03:4B:65:D2:AA,Bern_uest,15
scan_11,--,1653525085
60:38:E0:0E:EC:B7,ponderous_5GHz,92
60:38:E0:0E:EC:B6,ponderous,77
CA:3A:6B:1F:ED:6A,--,77
10:93:97:37:2A:10,ATTvcdAF5S72
06:93:97:37:2A:13,ATTvcdAF5S57
10:93:97:37:2A:13,--,57
D0:4D:2C:86:A2:27,--,49
CA:3A:6B:22:30:2A,--,49
E4:F4:C6:EF:CE:9B,ATTWsvFCI2_EXT,27
2C:95:69:44:21:10,ATTvX66m7i,27
3E:51:A4:28:26:F3,--,25
0E:51:A4:28:26:F3,xfinitywifi,25
FC:51:A4:28:26:F3,home7,24
1E:51:A4:28:26:F3,--,24
4A:4B:D4:75:22:6C,--,22
4A:4B:D4:75:22:6E,--,22
2E:51:A4:28:26:F3,XFINITY,22
48:4B:D4:74:22:6B,WiFi_House,20
4A:4B:D4:75:22:68,--,19
74:54:7D:EB:47:11,Cisco-7DEB4711,19
1A:54:A5:75:AF:40,--,17
D0:03:4B:65:D2:AA,Dragonfly,17
D2:03:4B:65:D2:AA,Bern_uest,15
scan_12,--,1653525099
60:38:E0:0E:EC:B6,ponderous,97
60:38:E0:0E:EC:B7,ponderous_5GHz,90
CA:3A:6B:1F:ED:6A,--,77
10:93:97:37:2A:10,ATTvcdAF5S75
06:93:97:37:2A:13,ATTvcdAF5S57
10:93:97:37:2A:13,--,57
D0:4D:2C:86:A2:27,--,49
CA:3A:6B:22:30:2A,--,49
2C:95:69:44:21:10,ATTvX66m7i,27
4A:4B:D4:75:22:6C,--,22
4A:4B:D4:75:22:6E,--,22
1E:51:A4:28:26:F3,--,22
D0:03:4B:65:D2:AA,Dragonfly,20
48:4B:D4:74:22:6B,WiFi_House,20
2E:51:A4:28:26:F3,XFINITY,20
3E:51:A4:28:26:F3,--,20
FC:51:A4:28:26:F3,home7,20
4A:4B:D4:75:22:68,--,19
74:54:7D:EB:47:11,Cisco-7DEB4711,19
0E:51:A4:28:26:F3,xfinitywifi,19
1A:54:A5:75:AF:40,--,17
0C:54:A5:75:AF:40,HOME-C26B-2.4,15
D2:03:4B:65:D2:AA,Bern_uest,15
scan_13,--,1653525106
60:38:E0:0E:EC:B7,ponderous_5GHz,90
60:38:E0:0E:EC:B6,ponderous,78
